category,country,gender,h2h_player1_wins,h2h_player2_wins,match_id,match_url,odds1_avg,odds2_avg,player1,player2,prize_money,round,round_name,seed1,seed2,source_url,start_raw,status,surface,tour,tournament,year
masters_1000,Italy,men,1,0,3193922,https://www.tennisexplorer.com/match-detail/?id=3193922,2.29,1.61,Zhang,Altmaier,"8,235,540 €",1R,1R,,,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 11:00",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,0,1,3193916,https://www.tennisexplorer.com/match-detail/?id=3193916,3.55,1.29,Brooksby,Baez,"8,235,540 €",1R,1R,,,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 11:00",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,1,4,3193914,https://www.tennisexplorer.com/match-detail/?id=3193914,1.32,3.37,Dzumhur,Mannarino,"8,235,540 €",1R,1R,,,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 11:00",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,2,2,3193910,https://www.tennisexplorer.com/match-detail/?id=3193910,1.61,2.29,Marozsan,Kopriva,"8,235,540 €",1R,1R,,,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 11:00",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,1,0,3193908,https://www.tennisexplorer.com/match-detail/?id=3193908,2.17,1.68,Muller,Van De Zandschulp,"8,235,540 €",1R,1R,,,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 12:30",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,0,0,3193906,https://www.tennisexplorer.com/match-detail/?id=3193906,1.45,2.7,Ugo Carabelli,Shevchenko,"8,235,540 €",1R,1R,,,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 12:30",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,0,0,3193904,https://www.tennisexplorer.com/match-detail/?id=3193904,1.43,2.78,Trungelliti,Svajda,"8,235,540 €",1R,1R,,,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 12:30",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,1,0,3193918,https://www.tennisexplorer.com/match-detail/?id=3193918,1.44,2.74,Hurkacz,Hanfmann,"8,235,540 €",1R,1R,,,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 13:00",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,0,0,3196246,https://www.tennisexplorer.com/match-detail/?id=3196246,2.5,1.53,Struff,Comesana,"8,235,540 €",1R,1R,,,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 14:00",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,2,3,3193912,https://www.tennisexplorer.com/match-detail/?id=3193912,1.61,2.29,Arnaldi,Munar,"8,235,540 €",1R,1R,,,https://www.tennisexplorer.com/rome/2026/atp-men/,"today , 14:30",upcoming,clay,atp-men,Rome,2026
